Asset Pair,Pearson Correlation,Spearman Correlation,Kendall's Tau,Lower Tail Dependence,Upper Tail Dependence,Scatter Plot,Sample Size,Recommended Copula
stocks - Chevron Corp — stocks - Mastercard Inc,0.5670553448933152,0.4214484324381025,0.27204557565914683,0.28662420382165604,0.19108280254777052,qqplots/scatter_stocks - Chevron Corp_vs_stocks - Mastercard Inc.png,1256,Gaussian Copula (symmetric)
stocks - Chevron Corp — stocks - PepsiCo Inc,0.8774595766779986,0.8568828587872489,0.6617428375669296,0.3503184713375796,0.47770700636942637,qqplots/scatter_stocks - Chevron Corp_vs_stocks - PepsiCo Inc.png,1256,Gumbel Copula (upper tail dependence)
stocks - Chevron Corp — stocks - Visa Inc,0.5320973878010274,0.39353917046951364,0.24998858070901106,0.23885350318471338,0.2070063694267514,qqplots/scatter_stocks - Chevron Corp_vs_stocks - Visa Inc.png,1256,Gaussian Copula (symmetric)
stocks - Coca-Cola Co — stocks - Exxon Mobil Corp,0.8437320159231021,0.7954674190321014,0.5954254262260563,0.3503184713375796,0.4140127388535028,qqplots/scatter_stocks - Coca-Cola Co_vs_stocks - Exxon Mobil Corp.png,1256,"Gaussian or t-Copula (symmetric, strong)"
stocks - Coca-Cola Co — stocks - Mastercard Inc,0.6828420337933814,0.579543324594825,0.40307103188683174,0.19108280254777069,0.2866242038216558,qqplots/scatter_stocks - Coca-Cola Co_vs_stocks - Mastercard Inc.png,1256,Gaussian Copula (symmetric)
stocks - Coca-Cola Co — stocks - PepsiCo Inc,0.8385312726881571,0.8045212755366848,0.6115596360545386,0.3343949044585987,0.525477707006369,qqplots/scatter_stocks - Coca-Cola Co_vs_stocks - PepsiCo Inc.png,1256,Gumbel Copula (upper tail dependence)
stocks - Coca-Cola Co — stocks - Visa Inc,0.6411108691986767,0.5422462939759933,0.3718049734884784,0.1592356687898089,0.22292993630573227,qqplots/scatter_stocks - Coca-Cola Co_vs_stocks - Visa Inc.png,1256,Gaussian Copula (symmetric)
stocks - Exxon Mobil Corp — stocks - Mastercard Inc,0.708297602691408,0.5175844544537446,0.3393229629253685,0.28662420382165604,0.17515923566878966,qqplots/scatter_stocks - Exxon Mobil Corp_vs_stocks - Mastercard Inc.png,1256,Clayton Copula (lower tail dependence)
stocks - Exxon Mobil Corp — stocks - PepsiCo Inc,0.8623207503978745,0.8418969880022649,0.6399802065622858,0.1751592356687898,0.49363057324840726,qqplots/scatter_stocks - Exxon Mobil Corp_vs_stocks - PepsiCo Inc.png,1256,Gumbel Copula (upper tail dependence)
stocks - Exxon Mobil Corp — stocks - Visa Inc,0.6850208444306877,0.4929677880303422,0.31901185068642623,0.22292993630573246,0.19108280254777052,qqplots/scatter_stocks - Exxon Mobil Corp_vs_stocks - Visa Inc.png,1256,Gaussian Copula (symmetric)
stocks - Mastercard Inc — stocks - PepsiCo Inc,0.5615598822727219,0.4350579016497136,0.2884462151394422,0.22292993630573246,0.1433121019108279,qqplots/scatter_stocks - Mastercard Inc_vs_stocks - PepsiCo Inc.png,1256,Gaussian Copula (symmetric)
stocks - Mastercard Inc — stocks - Visa Inc,0.9844000499136454,0.9809482802111712,0.8849747506788133,0.8917197452229298,0.8439490445859864,qqplots/scatter_stocks - Mastercard Inc_vs_stocks - Visa Inc.png,1256,"Gaussian or t-Copula (symmetric, strong)"
stocks - PepsiCo Inc — stocks - Visa Inc,0.534269293615926,0.4122301000155467,0.269926662775649,0.20700636942675157,0.19108280254777052,qqplots/scatter_stocks - PepsiCo Inc_vs_stocks - Visa Inc.png,1256,Gaussian Copula (symmetric)
